,lon,lat,nltk_sentiment,count,total,%neg
0,103.610679309,1.24364174742,Negative,2,36,5.555555555555555
1,103.610679309,1.24364174742,Neutral,23,36,63.888888888888886
2,103.610679309,1.24364174742,Positive,11,36,30.55555555555556
3,103.610679309,1.25364174742,Negative,1,48,2.083333333333333
4,103.610679309,1.25364174742,Neutral,37,48,77.08333333333334
5,103.610679309,1.25364174742,Positive,10,48,20.833333333333336
6,103.630679309,1.27364174742,Negative,1,31,3.225806451612903
7,103.630679309,1.27364174742,Neutral,19,31,61.29032258064516
8,103.630679309,1.27364174742,Positive,11,31,35.483870967741936
9,103.630679309,1.29364174742,Negative,3,19,15.789473684210526
10,103.630679309,1.29364174742,Neutral,8,19,42.10526315789473
11,103.630679309,1.29364174742,Positive,8,19,42.10526315789473
12,103.630679309,1.30364174742,Negative,1,23,4.3478260869565215
13,103.630679309,1.30364174742,Neutral,8,23,34.78260869565217
14,103.630679309,1.30364174742,Positive,14,23,60.86956521739131
15,103.630679309,1.31364174742,Negative,3,32,9.375
16,103.630679309,1.31364174742,Neutral,15,32,46.875
17,103.630679309,1.31364174742,Positive,14,32,43.75
18,103.630679309,1.34364174742,Negative,4,122,3.278688524590164
19,103.630679309,1.34364174742,Neutral,81,122,66.39344262295081
20,103.630679309,1.34364174742,Positive,37,122,30.327868852459016
21,103.630679309,1.35364174742,Negative,5,40,12.5
22,103.630679309,1.35364174742,Neutral,24,40,60.0
23,103.630679309,1.35364174742,Positive,11,40,27.500000000000004
24,103.640679309,1.20364174742,Negative,9,51,17.647058823529413
25,103.640679309,1.20364174742,Neutral,20,51,39.21568627450981
26,103.640679309,1.20364174742,Positive,22,51,43.13725490196079
27,103.640679309,1.34364174742,Negative,6,80,7.5
28,103.640679309,1.34364174742,Neutral,47,80,58.75
29,103.640679309,1.34364174742,Positive,27,80,33.75
30,103.650679309,1.33364174742,Negative,2,18,11.11111111111111
31,103.650679309,1.33364174742,Neutral,11,18,61.11111111111112
32,103.650679309,1.33364174742,Positive,5,18,27.77777777777778
33,103.660679309,1.32364174742,Negative,7,57,12.280701754385964
34,103.660679309,1.32364174742,Neutral,33,57,57.89473684210527
35,103.660679309,1.32364174742,Positive,17,57,29.82456140350877
36,103.660679309,1.41364174742,Negative,37,611,6.055646481178396
37,103.660679309,1.41364174742,Neutral,340,611,55.64648117839607
38,103.660679309,1.41364174742,Positive,234,611,38.297872340425535
39,103.670679309,1.29364174742,Negative,3,16,18.75
40,103.670679309,1.29364174742,Neutral,6,16,37.5
41,103.670679309,1.29364174742,Positive,7,16,43.75
42,103.670679309,1.33364174742,Negative,6,39,15.384615384615383
43,103.670679309,1.33364174742,Neutral,11,39,28.205128205128204
44,103.670679309,1.33364174742,Positive,22,39,56.41025641025641
45,103.680679309,1.29364174742,Negative,10,111,9.00900900900901
46,103.680679309,1.29364174742,Neutral,46,111,41.44144144144144
47,103.680679309,1.29364174742,Positive,55,111,49.549549549549546
48,103.680679309,1.32364174742,Negative,5,61,8.19672131147541
49,103.680679309,1.32364174742,Neutral,39,61,63.934426229508205
50,103.680679309,1.32364174742,Positive,17,61,27.86885245901639
51,103.680679309,1.33364174742,Negative,8,86,9.30232558139535
52,103.680679309,1.33364174742,Neutral,46,86,53.48837209302325
53,103.680679309,1.33364174742,Positive,32,86,37.2093023255814
54,103.680679309,1.34364174742,Negative,42,407,10.319410319410318
55,103.680679309,1.34364174742,Neutral,142,407,34.88943488943489
56,103.680679309,1.34364174742,Positive,223,407,54.7911547911548
57,103.680679309,1.35364174742,Negative,6,76,7.894736842105263
58,103.680679309,1.35364174742,Neutral,32,76,42.10526315789473
59,103.680679309,1.35364174742,Positive,38,76,50.0
60,103.690679309,1.32364174742,Negative,2,26,7.6923076923076925
61,103.690679309,1.32364174742,Neutral,17,26,65.38461538461539
62,103.690679309,1.32364174742,Positive,7,26,26.923076923076923
63,103.690679309,1.33364174742,Negative,7,50,14.000000000000002
64,103.690679309,1.33364174742,Neutral,25,50,50.0
65,103.690679309,1.33364174742,Positive,18,50,36.0
66,103.690679309,1.34364174742,Negative,15,212,7.075471698113208
67,103.690679309,1.34364174742,Neutral,126,212,59.43396226415094
68,103.690679309,1.34364174742,Positive,71,212,33.490566037735846
69,103.690679309,1.35364174742,Negative,6,60,10.0
70,103.690679309,1.35364174742,Neutral,35,60,58.333333333333336
71,103.690679309,1.35364174742,Positive,19,60,31.666666666666664
72,103.690679309,1.36364174742,Negative,4,30,13.333333333333334
73,103.690679309,1.36364174742,Neutral,5,30,16.666666666666664
74,103.690679309,1.36364174742,Positive,21,30,70.0
75,103.690679309,1.37364174742,Negative,5,25,20.0
76,103.690679309,1.37364174742,Neutral,14,25,56.00000000000001
77,103.690679309,1.37364174742,Positive,6,25,24.0
78,103.690679309,1.38364174742,Negative,2,19,10.526315789473683
79,103.690679309,1.38364174742,Neutral,8,19,42.10526315789473
80,103.690679309,1.38364174742,Positive,9,19,47.368421052631575
81,103.700679309,1.26364174742,Negative,1,19,5.263157894736842
82,103.700679309,1.26364174742,Neutral,9,19,47.368421052631575
83,103.700679309,1.26364174742,Positive,9,19,47.368421052631575
84,103.700679309,1.31364174742,Negative,1,38,2.631578947368421
85,103.700679309,1.31364174742,Neutral,22,38,57.89473684210527
86,103.700679309,1.31364174742,Positive,15,38,39.47368421052632
87,103.700679309,1.32364174742,Negative,1,25,4.0
88,103.700679309,1.32364174742,Neutral,21,25,84.0
89,103.700679309,1.32364174742,Positive,3,25,12.0
90,103.700679309,1.33364174742,Negative,11,172,6.395348837209303
91,103.700679309,1.33364174742,Neutral,117,172,68.02325581395348
92,103.700679309,1.33364174742,Positive,44,172,25.58139534883721
93,103.700679309,1.34364174742,Negative,61,545,11.192660550458717
94,103.700679309,1.34364174742,Neutral,304,545,55.77981651376148
95,103.700679309,1.34364174742,Positive,180,545,33.02752293577982
96,103.700679309,1.35364174742,Negative,24,333,7.207207207207207
97,103.700679309,1.35364174742,Neutral,249,333,74.77477477477478
98,103.700679309,1.35364174742,Positive,60,333,18.01801801801802
99,103.700679309,1.42364174742,Negative,7,24,29.166666666666668
100,103.700679309,1.42364174742,Neutral,7,24,29.166666666666668
101,103.700679309,1.42364174742,Positive,10,24,41.66666666666667
102,103.710679309,1.31364174742,Negative,13,160,8.125
103,103.710679309,1.31364174742,Neutral,78,160,48.75
104,103.710679309,1.31364174742,Positive,69,160,43.125
105,103.710679309,1.32364174742,Negative,2,58,3.4482758620689653
106,103.710679309,1.32364174742,Neutral,35,58,60.3448275862069
107,103.710679309,1.32364174742,Positive,21,58,36.206896551724135
108,103.710679309,1.33364174742,Negative,14,119,11.76470588235294
109,103.710679309,1.33364174742,Neutral,70,119,58.82352941176471
110,103.710679309,1.33364174742,Positive,35,119,29.411764705882355
111,103.710679309,1.34364174742,Negative,83,843,9.845788849347567
112,103.710679309,1.34364174742,Neutral,473,843,56.10913404507711
113,103.710679309,1.34364174742,Positive,287,843,34.04507710557533
114,103.710679309,1.43364174742,Negative,3,29,10.344827586206897
115,103.710679309,1.43364174742,Neutral,16,29,55.172413793103445
116,103.710679309,1.43364174742,Positive,10,29,34.48275862068966
117,103.720679309,1.31364174742,Negative,4,44,9.090909090909092
118,103.720679309,1.31364174742,Neutral,17,44,38.63636363636363
119,103.720679309,1.31364174742,Positive,23,44,52.27272727272727
120,103.720679309,1.32364174742,Negative,6,90,6.666666666666667
121,103.720679309,1.32364174742,Neutral,45,90,50.0
122,103.720679309,1.32364174742,Positive,39,90,43.333333333333336
