,lon,lat,nltk_sentiment,count,total,%neg,nltk_cmp_score
0,103.610679309,1.24364174742,Negative,2,36,5.555555555555555,0.1423361111111111
1,103.610679309,1.25364174742,Negative,1,48,2.083333333333333,0.11520833333333334
2,103.630679309,1.27364174742,Negative,1,31,3.225806451612903,0.2440516129032258
3,103.630679309,1.29364174742,Negative,3,19,15.789473684210526,0.16615789473684212
4,103.630679309,1.30364174742,Negative,1,23,4.3478260869565215,0.3385521739130435
5,103.630679309,1.31364174742,Negative,3,32,9.375,0.21944687499999999
6,103.630679309,1.34364174742,Negative,4,122,3.278688524590164,0.16714344262295083
7,103.630679309,1.35364174742,Negative,5,40,12.5,0.0832525
8,103.640679309,1.20364174742,Negative,9,51,17.647058823529413,0.19345098039215686
9,103.640679309,1.34364174742,Negative,6,80,7.5,0.13861625
10,103.650679309,1.33364174742,Negative,2,18,11.11111111111111,0.10045
11,103.660679309,1.32364174742,Negative,7,57,12.280701754385964,0.10661929824561404
12,103.660679309,1.41364174742,Negative,37,611,6.055646481178396,0.20009378068739772
13,103.670679309,1.29364174742,Negative,3,16,18.75,0.1967375
14,103.670679309,1.33364174742,Negative,6,39,15.384615384615383,0.2693307692307692
15,103.680679309,1.29364174742,Negative,10,111,9.00900900900901,0.24973603603603603
16,103.680679309,1.32364174742,Negative,5,61,8.19672131147541,0.11400491803278688
17,103.680679309,1.33364174742,Negative,8,86,9.30232558139535,0.1925046511627907
18,103.680679309,1.34364174742,Negative,42,407,10.319410319410318,0.30202039312039314
19,103.680679309,1.35364174742,Negative,6,76,7.894736842105263,0.24920789473684213
20,103.690679309,1.32364174742,Negative,2,26,7.6923076923076925,0.12855384615384616
21,103.690679309,1.33364174742,Negative,7,50,14.000000000000002,0.13995000000000002
22,103.690679309,1.34364174742,Negative,15,212,7.075471698113208,0.16619528301886793
23,103.690679309,1.35364174742,Negative,6,60,10.0,0.13491833333333333
24,103.690679309,1.36364174742,Negative,4,30,13.333333333333334,0.3067266666666667
25,103.690679309,1.37364174742,Negative,5,25,20.0,0.04352399999999999
26,103.690679309,1.38364174742,Negative,2,19,10.526315789473683,0.21610000000000001
27,103.700679309,1.26364174742,Negative,1,19,5.263157894736842,0.2454894736842105
28,103.700679309,1.31364174742,Negative,1,38,2.631578947368421,0.20905
29,103.700679309,1.32364174742,Negative,1,25,4.0,0.041424
30,103.700679309,1.33364174742,Negative,11,172,6.395348837209303,0.12364011627906978
31,103.700679309,1.34364174742,Negative,61,545,11.192660550458717,0.12166568807339449
32,103.700679309,1.35364174742,Negative,24,333,7.207207207207207,0.06997177177177177
33,103.700679309,1.42364174742,Negative,7,24,29.166666666666668,0.16071666666666665
34,103.710679309,1.31364174742,Negative,13,160,8.125,0.210195
35,103.710679309,1.32364174742,Negative,2,58,3.4482758620689653,0.16262413793103447
36,103.710679309,1.33364174742,Negative,14,119,11.76470588235294,0.1402529411764706
37,103.710679309,1.34364174742,Negative,83,843,9.845788849347567,0.14672372479240808
38,103.710679309,1.43364174742,Negative,3,29,10.344827586206897,0.15772413793103449
