,lon,lat,nltk_sentiment,count,total,%
0,103.6006793,1.233641747,Negative,1,5,20
1,103.6006793,1.233641747,Neutral,3,5,60
2,103.6006793,1.233641747,Positive,1,5,20
3,103.6006793,1.263641747,Neutral,1,1,100
4,103.6106793,1.243641747,Negative,2,36,5.555555556
5,103.6106793,1.243641747,Neutral,23,36,63.88888889
6,103.6106793,1.243641747,Positive,11,36,30.55555556
7,103.6106793,1.253641747,Negative,1,48,2.083333333
8,103.6106793,1.253641747,Neutral,37,48,77.08333333
9,103.6106793,1.253641747,Positive,10,48,20.83333333
10,103.6106793,1.273641747,Neutral,1,2,50
11,103.6106793,1.273641747,Positive,1,2,50
12,103.6206793,1.233641747,Neutral,1,1,100
13,103.6206793,1.263641747,Negative,1,8,12.5
14,103.6206793,1.263641747,Neutral,3,8,37.5
15,103.6206793,1.263641747,Positive,4,8,50
16,103.6206793,1.273641747,Neutral,6,11,54.54545455
17,103.6206793,1.273641747,Positive,5,11,45.45454545
18,103.6206793,1.283641747,Neutral,4,4,100
19,103.6206793,1.303641747,Neutral,2,2,100
20,103.6206793,1.313641747,Neutral,1,2,50
21,103.6206793,1.313641747,Positive,1,2,50
22,103.6306793,1.203641747,Neutral,1,1,100
23,103.6306793,1.223641747,Neutral,2,4,50
24,103.6306793,1.223641747,Positive,2,4,50
25,103.6306793,1.253641747,Neutral,1,1,100
26,103.6306793,1.263641747,Positive,1,1,100
27,103.6306793,1.273641747,Negative,1,31,3.225806452
28,103.6306793,1.273641747,Neutral,19,31,61.29032258
29,103.6306793,1.273641747,Positive,11,31,35.48387097
30,103.6306793,1.283641747,Neutral,2,3,66.66666667
31,103.6306793,1.283641747,Positive,1,3,33.33333333
32,103.6306793,1.293641747,Negative,3,19,15.78947368
33,103.6306793,1.293641747,Neutral,8,19,42.10526316
34,103.6306793,1.293641747,Positive,8,19,42.10526316
35,103.6306793,1.303641747,Negative,1,23,4.347826087
36,103.6306793,1.303641747,Neutral,8,23,34.7826087
37,103.6306793,1.303641747,Positive,14,23,60.86956522
38,103.6306793,1.313641747,Negative,3,32,9.375
39,103.6306793,1.313641747,Neutral,15,32,46.875
40,103.6306793,1.313641747,Positive,14,32,43.75
41,103.6306793,1.323641747,Negative,2,14,14.28571429
42,103.6306793,1.323641747,Neutral,12,14,85.71428571
43,103.6306793,1.333641747,Neutral,1,3,33.33333333
44,103.6306793,1.333641747,Positive,2,3,66.66666667
45,103.6306793,1.343641747,Negative,4,122,3.278688525
46,103.6306793,1.343641747,Neutral,81,122,66.39344262
47,103.6306793,1.343641747,Positive,37,122,30.32786885
48,103.6306793,1.353641747,Negative,5,40,12.5
49,103.6306793,1.353641747,Neutral,24,40,60
50,103.6306793,1.353641747,Positive,11,40,27.5
51,103.6406793,1.203641747,Negative,9,51,17.64705882
52,103.6406793,1.203641747,Neutral,20,51,39.21568627
53,103.6406793,1.203641747,Positive,22,51,43.1372549
54,103.6406793,1.243641747,Neutral,1,1,100
55,103.6406793,1.273641747,Negative,2,4,50
56,103.6406793,1.273641747,Neutral,1,4,25
57,103.6406793,1.273641747,Positive,1,4,25
58,103.6406793,1.283641747,Neutral,2,3,66.66666667
59,103.6406793,1.283641747,Positive,1,3,33.33333333
60,103.6406793,1.293641747,Neutral,2,3,66.66666667
61,103.6406793,1.293641747,Positive,1,3,33.33333333
62,103.6406793,1.303641747,Neutral,3,3,100
63,103.6406793,1.313641747,Negative,2,14,14.28571429
64,103.6406793,1.313641747,Neutral,9,14,64.28571429
65,103.6406793,1.313641747,Positive,3,14,21.42857143
66,103.6406793,1.323641747,Neutral,4,10,40
67,103.6406793,1.323641747,Positive,6,10,60
68,103.6406793,1.333641747,Neutral,7,10,70
69,103.6406793,1.333641747,Positive,3,10,30
70,103.6406793,1.343641747,Negative,6,80,7.5
71,103.6406793,1.343641747,Neutral,47,80,58.75
72,103.6406793,1.343641747,Positive,27,80,33.75
73,103.6406793,1.353641747,Neutral,2,4,50
74,103.6406793,1.353641747,Positive,2,4,50
75,103.6506793,1.223641747,Neutral,1,2,50
76,103.6506793,1.223641747,Positive,1,2,50
77,103.6506793,1.243641747,Neutral,1,1,100
78,103.6506793,1.293641747,Neutral,1,1,100
79,103.6506793,1.303641747,Negative,1,11,9.090909091
80,103.6506793,1.303641747,Neutral,6,11,54.54545455
81,103.6506793,1.303641747,Positive,4,11,36.36363636
82,103.6506793,1.313641747,Neutral,10,15,66.66666667
83,103.6506793,1.313641747,Positive,5,15,33.33333333
84,103.6506793,1.323641747,Negative,1,6,16.66666667
85,103.6506793,1.323641747,Neutral,3,6,50
86,103.6506793,1.323641747,Positive,2,6,33.33333333
87,103.6506793,1.333641747,Negative,2,18,11.11111111
88,103.6506793,1.333641747,Neutral,11,18,61.11111111
89,103.6506793,1.333641747,Positive,5,18,27.77777778
90,103.6506793,1.343641747,Positive,1,1,100
91,103.6606793,1.293641747,Neutral,2,6,33.33333333
92,103.6606793,1.293641747,Positive,4,6,66.66666667
93,103.6606793,1.303641747,Negative,1,11,9.090909091
94,103.6606793,1.303641747,Neutral,8,11,72.72727273
95,103.6606793,1.303641747,Positive,2,11,18.18181818
96,103.6606793,1.313641747,Neutral,3,6,50
97,103.6606793,1.313641747,Positive,3,6,50
98,103.6606793,1.323641747,Negative,7,57,12.28070175
99,103.6606793,1.323641747,Neutral,33,57,57.89473684
100,103.6606793,1.323641747,Positive,17,57,29.8245614
101,103.6606793,1.343641747,Neutral,1,1,100
102,103.6606793,1.413641747,Negative,37,611,6.055646481
103,103.6606793,1.413641747,Neutral,340,611,55.64648118
104,103.6606793,1.413641747,Positive,234,611,38.29787234
105,103.6706793,1.273641747,Neutral,1,3,33.33333333
106,103.6706793,1.273641747,Positive,2,3,66.66666667
107,103.6706793,1.283641747,Neutral,1,1,100
108,103.6706793,1.293641747,Negative,3,16,18.75
109,103.6706793,1.293641747,Neutral,6,16,37.5
110,103.6706793,1.293641747,Positive,7,16,43.75
111,103.6706793,1.303641747,Negative,3,12,25
112,103.6706793,1.303641747,Neutral,6,12,50
113,103.6706793,1.303641747,Positive,3,12,25
114,103.6706793,1.313641747,Neutral,1,5,20
115,103.6706793,1.313641747,Positive,4,5,80
116,103.6706793,1.323641747,Neutral,4,7,57.14285714
117,103.6706793,1.323641747,Positive,3,7,42.85714286
118,103.6706793,1.333641747,Negative,6,39,15.38461538
119,103.6706793,1.333641747,Neutral,11,39,28.20512821
120,103.6706793,1.333641747,Positive,22,39,56.41025641
121,103.6706793,1.343641747,Neutral,1,1,100
122,103.6806793,1.233641747,Neutral,2,2,100
123,103.6806793,1.263641747,Neutral,2,3,66.66666667
124,103.6806793,1.263641747,Positive,1,3,33.33333333
125,103.6806793,1.283641747,Neutral,1,1,100
126,103.6806793,1.293641747,Negative,10,111,9.009009009
127,103.6806793,1.293641747,Neutral,46,111,41.44144144
128,103.6806793,1.293641747,Positive,55,111,49.54954955
129,103.6806793,1.303641747,Neutral,7,11,63.63636364
130,103.6806793,1.303641747,Positive,4,11,36.36363636
131,103.6806793,1.313641747,Negative,1,9,11.11111111
132,103.6806793,1.313641747,Neutral,6,9,66.66666667
133,103.6806793,1.313641747,Positive,2,9,22.22222222
134,103.6806793,1.323641747,Negative,5,61,8.196721311
135,103.6806793,1.323641747,Neutral,39,61,63.93442623
136,103.6806793,1.323641747,Positive,17,61,27.86885246
137,103.6806793,1.333641747,Negative,8,86,9.302325581
138,103.6806793,1.333641747,Neutral,46,86,53.48837209
139,103.6806793,1.333641747,Positive,32,86,37.20930233
140,103.6806793,1.343641747,Negative,42,407,10.31941032
141,103.6806793,1.343641747,Neutral,142,407,34.88943489
142,103.6806793,1.343641747,Positive,223,407,54.79115479
143,103.6806793,1.353641747,Negative,6,76,7.894736842
144,103.6806793,1.353641747,Neutral,32,76,42.10526316
145,103.6806793,1.353641747,Positive,38,76,50
146,103.6806793,1.373641747,Neutral,1,1,100
147,103.6906793,1.253641747,Negative,1,1,100
148,103.6906793,1.263641747,Neutral,4,5,80
149,103.6906793,1.263641747,Positive,1,5,20
150,103.6906793,1.273641747,Neutral,1,1,100
151,103.6906793,1.283641747,Neutral,1,1,100
152,103.6906793,1.313641747,Neutral,8,9,88.88888889
153,103.6906793,1.313641747,Positive,1,9,11.11111111
154,103.6906793,1.323641747,Negative,2,26,7.692307692
155,103.6906793,1.323641747,Neutral,17,26,65.38461538
156,103.6906793,1.323641747,Positive,7,26,26.92307692
157,103.6906793,1.333641747,Negative,7,50,14
158,103.6906793,1.333641747,Neutral,25,50,50
159,103.6906793,1.333641747,Positive,18,50,36
160,103.6906793,1.343641747,Negative,15,212,7.075471698
161,103.6906793,1.343641747,Neutral,126,212,59.43396226
162,103.6906793,1.343641747,Positive,71,212,33.49056604
