,lon,lat,nltk_sentiment,count,total,%neg
0,103.600679309,1.23364174742,Neutral,4,5,80.0
1,103.600679309,1.23364174742,Positive,1,5,20.0
2,103.600679309,1.26364174742,Neutral,1,1,100.0
3,103.610679309,1.24364174742,Negative,2,36,5.555555555555555
4,103.610679309,1.24364174742,Neutral,23,36,63.888888888888886
5,103.610679309,1.24364174742,Positive,11,36,30.555555555555557
6,103.610679309,1.25364174742,Negative,1,48,2.083333333333333
7,103.610679309,1.25364174742,Neutral,37,48,77.08333333333334
8,103.610679309,1.25364174742,Positive,10,48,20.833333333333336
9,103.610679309,1.27364174742,Neutral,1,2,50.0
10,103.610679309,1.27364174742,Positive,1,2,50.0
11,103.620679309,1.23364174742,Neutral,1,1,100.0
12,103.620679309,1.26364174742,Negative,1,8,12.5
13,103.620679309,1.26364174742,Neutral,3,8,37.5
14,103.620679309,1.26364174742,Positive,4,8,50.0
15,103.620679309,1.27364174742,Neutral,6,11,54.54545454545454
16,103.620679309,1.27364174742,Positive,5,11,45.45454545454545
17,103.620679309,1.28364174742,Neutral,4,4,100.0
18,103.620679309,1.30364174742,Neutral,2,2,100.0
19,103.620679309,1.31364174742,Neutral,1,2,50.0
20,103.620679309,1.31364174742,Positive,1,2,50.0
21,103.630679309,1.20364174742,Neutral,1,1,100.0
22,103.630679309,1.22364174742,Neutral,2,4,50.0
23,103.630679309,1.22364174742,Positive,2,4,50.0
24,103.630679309,1.25364174742,Neutral,1,1,100.0
25,103.630679309,1.26364174742,Positive,1,1,100.0
26,103.630679309,1.27364174742,Negative,1,31,3.225806451612903
27,103.630679309,1.27364174742,Neutral,19,31,61.29032258064516
28,103.630679309,1.27364174742,Positive,11,31,35.483870967741936
29,103.630679309,1.28364174742,Neutral,2,3,66.66666666666666
30,103.630679309,1.28364174742,Positive,1,3,33.33333333333333
31,103.630679309,1.29364174742,Negative,3,19,15.789473684210526
32,103.630679309,1.29364174742,Neutral,8,19,42.10526315789473
33,103.630679309,1.29364174742,Positive,8,19,42.10526315789473
34,103.630679309,1.30364174742,Negative,1,23,4.3478260869565215
35,103.630679309,1.30364174742,Neutral,8,23,34.78260869565217
